id,name,address
393," Sociālās korekcijas izglītības iestāde ""Naukšēni"""," ""Naukšēnu muiža"", Naukšēnu pagasts, Valmieras novads"
337, Spāres pamatskola,"''Spāres Muiža"", Spāre, Amatas pagasts, Cēsu novads"
685, Stacijas pamatskola," Skolas iela 12, Kubuli, Kubulu pagasts, Balvu novads"
905, Staiceles pamatskola," Sporta iela 4, Staicele, Limbažu novads"
910, Stalbes pamatskola," ""Iktes"", Stalbe, Stalbes pagasts, Cēsu novads"
436, Staļģenes vidusskola," Skolas iela 2, Staļģene, Jaunsvirlaukas pagasts, Jelgavas novads"
650, Staņislava Broka Daugavpils Mūzikas vidusskola," Kandavas iela 2a, Daugavpils"
168, Stelpes pamatskola," ""Stelpes pamatskola"", Stelpes pagasts, Bauskas novads"
498, Stendes pamatskola,"  Brīvības iela 15, Stende, Talsu novads"
318, Stopiņu pamatskola," Līdumnieku iela 10, Saurieši, Ropažu novads"
297, Straupes pamatskola," Mazstraupes pils, Straupes pagasts, Cēsu novads"
268, Strautiņu pamatskola," ""Strautiņu pamatskola"", Strautiņi, Alsviķu pagasts, Alūksnes novads"
279, Strenču pamatskola," Rīgas iela 13, Strenči, Valmieras novads"
280, Strenču pamatskola," Skolas laukums 2, Seda, Valmieras novads"
427, Stāķu pamatskola," Stāķi 7, Stradu pagasts, Gulbenes novads"
974, Suntažu vidusskola," Meža prospekts 9, Ogre"
973, Suntažu vidusskola," Suntažu vidusskola, Suntaži, Suntažu pagasts, Ogres novads"
767, Sventes vidusskola," Alejas iela 20, Medumi, Medumu pag., Augšdaugavas novads"
775, Sventes vidusskola," Daugavpils iela 1a, Svente, Sventes pagasts, Augšdaugavas novads"
334, Sveķu pamatskola," Aduliena, Jaungulbenes pagasts, Gulbenes novads"
233, Svētes pamatskolas," Vilces iela 6, Svēte, Svētes pagasts, Jelgavas novads"
215, Sējas pamatskola," Loja, Saulkrastu novads"
278, Sēmes pamatskola," Ezera iela 17, Sēme, Sēmes pagasts, Tukuma novads"
